City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,32.0,95,63,5.7,GS,2024-06-07
1,waitangi,-43.9535,-176.5597,48.2,83,10,3.58,NZ,2024-06-07
2,adamstown,-25.066,-130.1015,73.4,71,100,6.17,PN,2024-06-07
3,petropavlovsk-kamchatsky,53.0452,158.6483,64.4,22,0,4.0,RU,2024-06-07
4,berezovyy,51.6667,135.7,39.2,98,100,1.03,RU,2024-06-07
5,west island,-12.1568,96.8225,84.2,79,32,8.23,CC,2024-06-07
6,olonkinbyen,70.9221,-8.7187,33.8,93,71,4.15,SJ,2024-06-07
7,praia da vitoria,38.7333,-27.0667,62.6,94,40,4.76,PT,2024-06-07
8,touros,-5.1989,-35.4608,75.2,92,76,4.28,BR,2024-06-07
9,turbat,26.0023,63.044,86.0,75,4,2.23,PK,2024-06-07
10,tiksi,71.6872,128.8694,50.0,63,40,1.82,RU,2024-06-07
11,port-aux-francais,-49.35,70.2167,41.0,79,74,4.49,TF,2024-06-07
12,tojsici,44.5011,18.7856,53.6,100,0,0.51,BA,2024-06-07
13,rongelap,11.1635,166.8941,82.4,82,59,8.13,MH,2024-06-07
14,acarau,-2.8856,-40.12,78.8,87,65,5.15,BR,2024-06-07
15,birzebbuga,35.8258,14.5269,66.2,82,0,0.0,MT,2024-06-07
16,newman,37.3138,-121.0208,89.6,34,0,2.24,US,2024-06-07
17,ushuaia,-54.8,-68.3,26.6,68,0,2.06,AR,2024-06-07
18,conceicao da barra,-18.5933,-39.7322,69.8,92,33,1.9,BR,2024-06-07
19,wabag,-5.4781,143.7021,64.4,85,99,1.46,PG,2024-06-07
20,invercargill,-46.4,168.35,51.8,98,100,3.13,NZ,2024-06-07
21,bengkulu,-3.8004,102.2655,84.2,72,10,0.98,ID,2024-06-07
22,port mathurin,-19.6833,63.4167,75.2,64,68,10.67,MU,2024-06-07
23,mirnyy,62.5353,113.9611,44.6,69,100,1.79,RU,2024-06-07
24,ust-nera,64.5667,143.2,73.4,22,88,2.96,RU,2024-06-07
25,zdvinsk,54.7021,78.661,60.8,96,100,3.0,RU,2024-06-07
26,queenstown,-31.8976,26.8753,44.6,81,96,8.45,ZA,2024-06-07
27,nukus,42.4531,59.6103,80.6,32,0,0.0,UZ,2024-06-07
28,papatowai,-46.5619,169.4708,51.8,93,100,3.9,NZ,2024-06-07
